Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1979,76.4,77.8,78.5,79.2,79.8,80.2,80.7,80.5,80.8,81.2,81.5,82.4, , 
1980,83.1,83.5,84.3,84.9,85.4,85.9,86.9,88.1,88.9,89.4,90.0,90.7, , 
1981,91.4,92.2,92.7,92.9,92.8,93.2,94.1,94.5,94.7,94.5,94.4,94.6, , 
1982,95.7,96.5,96.4,96.7,97.3,98.0,98.2,97.9,98.0,97.8,97.6,97.6, , 
1983,98.2,98.5,99.1,99.6,99.7,99.6,99.6,99.7,99.8,99.9,99.8,100.2, , 
1984,102.0,102.9,102.9,103.0,102.7,102.9,103.3,103.9,103.7,103.7,103.6,104.0,102.8,103.7
1985,104.7,105.4,105.5,105.5,105.3,105.4,105.5,105.6,105.7,105.8,106.2,106.9,105.3,106.0
1986,107.7,107.6,107.7,107.9,108.2,108.3,109.2,110.0,110.2,110.4,110.7,110.9,107.9,110.3
1987,112.1,112.5,112.5,112.8,113.3,113.8,113.7,113.8,114.2,114.3,114.3,114.8,112.8,114.2
1988,115.7,115.8,116.0,116.7,117.1,117.6,118.8,119.4,120.1,120.3,120.2,120.6,116.5,119.9
1989,122.0,122.7,123.3,124.0,124.7,124.9,125.4,125.6,125.9,126.3,126.7,127.2,123.6,126.2
1990,130.0,130.9,131.2,131.0,131.1,131.7,132.4,132.7,133.0,133.4,133.7,133.9,131.0,133.2
1991,135.9,136.0,136.3,137.2,137.3,137.7,137.1,136.6,136.7,136.5,136.9,137.3,136.7,136.9
1992,137.9,138.1,138.8,138.8,138.3,138.3,138.1,138.8,139.3,139.2,139.1,139.5,138.4,139.0
1993,140.5,140.7,140.9,141.4,141.8,141.1,141.1,141.5,141.8,142.3,142.6,143.3,141.1,142.1
1994,144.3,143.6,143.9,144.0,144.1,144.2,144.8,145.3,145.6,145.6,145.9,147.2,144.0,145.7
1995,147.9,147.8,147.9,148.9,148.7,148.4,148.6,148.9,149.4,149.8,149.8,150.3,148.3,149.5
1996,151.4,151.3,152.1,152.7,152.5,153.1,153.6,154.2,155.0,155.8,156.2,156.6,152.2,155.2
1997,156.9,156.9,157.1,157.1,157.1,157.1,157.5,158.1,158.4,158.7,158.9,159.1,157.0,158.5
1998,160.3,159.8,160.1,160.2,160.7,160.6,160.9,161.4,161.5,162.4,162.5,162.7,160.3,161.9
1999,163.9,163.8,163.7,163.9,164.2,164.1,164.2,164.7,165.1,165.5,165.7,165.9,163.9,165.2
2000,166.6,166.8,167.1,167.2,167.8,167.9,168.7,169.2,169.4,169.6,169.5,170.5,167.2,169.5
2001,171.4,171.8,172.2,172.4,172.9,173.4,174.0,174.4,174.6,175.3,175.2,175.2,172.4,174.8
2002,176.2,176.4,176.6,176.7,176.4,176.4,176.6,176.6,176.9,177.1,177.4,177.8,176.5,177.1
2003,178.1,178.9,179.2,179.0,179.4,180.2,180.3,180.9,181.3,182.2,182.9,184.1,179.1,182.0
2004,184.3,184.5,184.9,185.0,186.5,186.8,187.2,187.3,187.2,188.4,188.6,188.9,185.3,187.9
2005,189.5,189.3,189.6,190.7,191.1,190.9,191.3,191.3,191.8,192.5,192.8,193.2,190.2,192.2
2006,194.5,194.4,194.5,194.2,194.7,195.1,195.6,196.0,196.7,197.5,197.2,197.4,194.6,196.7
2007,199.198,200.402,200.869,201.292,202.225,202.885,203.533,204.289,205.279,206.124,206.563,206.936,201.145,205.454
2008,208.837,209.462,209.692,211.365,212.251,213.383,215.326,216.419,217.672,218.705,218.752,218.839,210.832,217.619
2009,219.729,219.333,218.794,218.364,218.076,218.030,217.608,217.701,217.617,217.957,217.733,218.049,218.721,217.778
2010,219.223,219.140,219.378,219.536,219.693,219.562,219.539,219.877,220.586,221.005,220.991,221.278,219.422,220.546
2011,223.160,224.039,225.479,226.248,227.082,227.451,228.323,229.490,230.448,230.885,230.656,231.130,225.576,230.155
2012,232.559,232.453,232.708,233.116,233.257,233.509,233.557,234.017,234.172,234.718,234.742,235.230,232.934,234.406
2013,236.183,236.230,236.267,236.761,236.474,236.726,236.957,237.348,237.444,237.794,237.585,237.820,236.440,237.491
2014,238.792,239.476,240.226,241.103,242.065,242.027,242.674,243.497,244.260,244.775,244.902,245.585,240.615,244.282
2015,246.100,246.269,245.689,245.746,245.846,246.245,246.558,247.196,248.090,248.575,247.870,247.468,245.983,247.626
2016,248.241,248.459,247.677,248.095,247.580,247.207,247.267,247.420,247.645,247.861,247.246,247.134,247.877,247.429
2017,248.074,248.595,248.967,249.538,249.749,249.398,249.930,250.212,250.735,251.130,250.694,251.024,249.054,250.621
2018,252.109,252.076,252.182,252.999,252.848,253.022,253.476,253.779,254.178,254.203,254.262,255.023,252.539,254.154
2019,256.185,256.997,257.430,257.393,257.791,257.778,258.015,258.154,258.646,259.284,259.080,259.403,257.262,258.764
2020,260.638,261.487,262.320,266.137,267.792,269.051,268.132,268.383,268.465,269.169,268.539,269.383,264.571,268.679
2021,270.260,270.672,271.135,272.367,273.441,275.380,277.187,278.201,280.452,282.943,284.168,285.556,272.209,281.418
2022,288.264,291.244,294.064,296.915,300.081,302.967,306.278,308.550,310.678,312.860,313.467,314.459,295.589,311.049
2023,316.705,318.050,318.338,319.085,319.811,320.120,321.020,321.578,322.249,323.262,322.703,322.933,318.685,322.291
