Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1979,65.6,66.4,67,67.7,68.5,69.4,70.3,71.3,72.2,73.2,74.1,75, , 
1980,76.2,77.1,78.4,79.4,80.6,82.1,81.6,81.8,82.4,83.5,84.3,85.3, , 
1981,85.9,86.5,87,87.7,88.8,90,91.5,92.3,93.5,93.5,93.7,94, , 
1982,94.3,94.6,94.4,95.3,96.6,97.8,98.3,98.6,98.4,98.8,98.2,97.4, , 
1983,97.9,98.1,98.1,98.6,99.1,99.5,99.9,100,100.5,100.6,100.7,100.8, , 
1984,101.4,101.9,102.1,102.6,103,103.5,104.1,104.5,105.1,105.1,105,105.1,102.4,104.8
1985,105.3,105.8,106.1,106.5,107.3,107.9,108.3,108.7,108.9,109.1,109.3,109.6,106.5,109
1986,109.9,109.8,109.9,110.2,110.4,111.2,111.3,111.6,112,111.8,111.4,111.5,110.2,111.6
1987,112,112.4,112.8,113.2,113.6,114.3,114.7,115.4,115.6,115.5,115.5,115.6,113.1,115.4
1988,116.2,116.6,117,117.3,117.7,118.6,119.1,119.5,119.9,119.9,119.9,120.2,117.2,119.8
1989,120.7,121.1,121.5,121.6,122.1,122.9,123.9,124.2,124.3,124.4,124.5,124.9,121.7,124.4
1990,125.9,126.1,126.8,126.8,127.1,128.3,129.2,130.2,130.5,130.6,130.4,130.5,126.8,130.2
1991,131.8,132.4,132.6,132.5,132.8,133.4,134.2,134.5,134.7,134.7,134.7,135,132.6,134.6
1992,135.7,136.1,136.6,136.5,136.7,137.7,138.3,138.6,138.4,138.5,138.5,138.5,136.6,138.5
1993,139.3,139.7,140.2,140.4,140.5,141.5,141.9,142.3,142.3,142.2,142,142.3,140.3,142.2
1994,142.9,143.7,144.1,143.9,144.1,144.9,145.4,145.9,145.8,145.7,145.5,145.4,143.9,145.6
1995,146.4,147,147.4,147.4,147.6,148.5,149.2,149.6,149.5,149.7,149.4,149.7,147.4,149.5
1996,150.6,151.2,151.7,151.8,152,152.7,153.6,154,153.9,154,153.9,154,151.7,153.9
1997,155.1,155.8,155.9,155.8,155.9,156.9,157.5,157.6,157.7,157.7,157.7,157.7,155.9,157.7
1998,158.3,158.8,159.2,159.5,159.7,160.6,161.2,161.5,161.5,161.4,161.3,161.3,159.4,161.4
1999,161.8,162.3,162.8,163,163,164.1,164.7,165,165.2,165,164.9,164.8,162.8,164.9
2000,166,167.1,167.8,167.9,168.1,169.6,170.6,170.9,171.4,171.7,171.6,171.9,167.8,171.4
2001,174.1,174.7,175.4,175.4,175.9,177.3,177.6,178,177.4,176.7,176.9,176.9,175.5,177.3
2002,177.6,178.5,179.1,179.5,179.7,180.7,181.2,181.7,181.5,181.4,181.2,181.1,179.2,181.4
2003,182.3,183.2,184.3,184.1,184.5,185.3,185.9,186.1,185.8,185.7,185.1,185.1,184,185.6
2004,186.3,187,187.9,188.4,188.9,190.3,190.9,191.2,191,191,190.8,190.7,188.1,190.9
2005,191.8,192.7,194.1,194.4,194.5,195.5,196.6,196.9,197,198.4,198.5,198.3,193.8,197.6
2006,200,200.5,201.3,201.7,202.2,203.7,204.7,205.1,205,204.4,204.5,204.8,201.6,204.8
2007,206.057,207.177,208.08,208.541,208.902,210.649,211.286,211.098,210.865,210.701,210.745,210.933,208.234,210.938
2008,212.244,213.026,214.389,214.89,215.809,217.941,219.61,219.148,218.184,217.383,216.467,216.073,214.717,217.811
2009,216.928,217.18,217.374,217.126,216.971,218.071,218.085,217.827,217.178,216.612,215.808,215.523,217.275,216.839
2010,215.925,215.841,216.023,215.798,215.981,216.778,217.076,216.976,216.602,216.1,215.83,216.142,216.058,216.454
2011,216.739,217.259,217.707,217.901,218.484,219.553,220.23,220.506,220.54,220.138,219.969,220.193,217.941,220.263
2012,220.805,221.117,221.487,221.682,221.971,223.051,223.316,223.699,223.901,223.708,223.814,224.032,221.685,223.745
2013,224.79,225.382,225.643,225.986,226.896,228.068,228.374,228.564,228.808,228.362,228.449,228.892,226.128,228.575
2014,230.256,230.905,231.968,231.689,232.744,233.894,234.475,234.571,234.675,234.434,234.315,234.658,231.909,234.521
2015,235.485,236.016,236.435,236.777,237.175,238.568,239.085,239.298,239.651,239.395,239.325,239.514,236.743,239.378
2016,240.424,241.015,241.485,241.79,242.811,244.28,244.936,245.472,246.127,246.264,246.271,246.795,241.968,245.978
2017,247.942,248.693,248.978,249.514,250.376,251.629,251.87,252.615,252.984,253.125,253.177,253.845,249.522,252.936
2018,254.857,255.713,256.388,256.969,257.907,258.71,259.268,259.884,259.941,260.268,260.473,261.36,256.757,260.199
2019,262.284,263.057,263.886,264.452,265.137,266.461,267.101,267.263,267.822,267.794,267.925,268.236,264.213,267.69
2020,269.468,270.281,270.273,270.184,270.823,271.831,272.445,272.866,273.116,273.014,273.29,273.684,270.477,273.069
2021,274.336,275.137,276.028,277.258,278.648,280.366,281.604,282.391,283.744,285.31,286.308,287.511,276.962,284.478
2022,289.889,291.504,293.577,295.259,297.868,300.927,302.327,304.506,306.521,307.816,308.72,310.725,294.837,306.769
2023,313.747,315.431,316.514,317.278,318.205,320.002,321.087,321.894,323.563,323.964,324.735,325.64,316.863,323.481
